LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,ClossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG,LinkWAID
193,0,192,194,193,194,0,0,0,0,0,0,0,0,1.279,1,1,0,20,20,0,0,0
194,0,193,195,194,195,0,0,0,0,0,0,0,0,1.004,1,1,0,20,20,0,0,0
195,0,194,196,195,196,0,0,0,0,0,0,0,0,1.219,1,1,0,20,20,0,0,0
196,0,195,0,196,197,0,0,0,0,0,0,0,0,1.168,1,1,0,20,20,0,0,0
230,0,0,231,230,231,0,0,0,0,0,0,0,0,1.151,1,1,0,20,20,0,0,0
231,0,230,232,231,232,0,0,0,0,0,0,0,0,1.063,1,1,0,20,20,0,0,0
232,0,231,233,232,233,0,0,0,0,0,0,0,0,1.202,1,1,0,20,20,0,0,0
233,0,232,234,233,234,0,0,0,0,0,0,0,0,1.024,1,1,0,20,20,0,0,0
234,0,233,235,234,235,0,0,0,0,0,0,0,0,1.179,1,1,0,20,20,0,0,0
235,0,234,236,235,236,0,0,0,0,0,0,0,0,1.288,1,1,0,20,20,0,0,0
236,0,235,237,236,237,0,0,0,0,0,0,0,0,1.054,1,1,0,20,20,0,0,0
237,0,236,238,237,238,0,0,0,0,0,0,0,0,1.147,1,1,0,20,20,0,0,0
238,0,237,239,238,239,0,0,0,0,0,0,0,0,1.156,1,1,0,20,20,0,0,0
239,0,238,240,239,240,0,0,0,0,0,0,0,0,1.233,1,1,0,20,20,0,0,0
240,0,239,241,240,241,0,0,0,0,0,0,0,0,1.291,1,1,0,20,20,0,0,0
241,0,240,242,241,242,0,0,0,0,0,0,0,0,1.276,1,1,0,20,20,0,0,0
242,0,241,243,242,243,0,0,0,0,0,0,0,0,1.315,1,1,0,20,20,0,0,0
243,0,242,244,243,244,0,0,0,0,0,0,0,0,1.353,1,1,0,20,20,0,0,0
244,0,243,245,244,245,0,0,0,0,0,0,0,0,1.379,1,1,0,20,20,0,0,0
245,0,244,246,245,246,0,0,0,0,0,0,0,0,1.399,1,1,0,20,20,0,0,0
246,0,245,247,246,247,0,0,0,0,0,0,0,0,1.41,1,1,0,20,20,0,0,0
247,0,246,248,247,248,0,0,0,0,0,0,0,0,1.456,1,1,0,20,20,0,0,0
248,0,247,1578,248,249,0,0,0,0,0,0,0,0,1.468,1,1,0,20,20,0,0,0
272,0,1581,273,272,273,0,0,0,0,0,0,0,0,1.115,1,1,0,20,20,0,0,0
273,0,272,274,273,274,0,0,0,0,0,0,0,0,1.106,1,1,0,20,20,0,0,0
274,0,273,275,274,275,0,0,0,0,0,0,0,0,1.095,1,1,0,20,20,0,0,0
275,0,274,276,275,276,0,0,0,0,0,0,0,0,1.084,1,1,0,20,20,0,0,0
