PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
190,0,0,84.7971,-544.114,398.4615,1,0,0,0
191,0,0,84.7245,-542.6724,398.2812,1,0,0,0
192,0,0,84.6529,-541.2267,398.1225,1,0,0,0
193,0,0,84.5826,-539.7471,397.9483,1,0,0,0
194,0,0,84.5169,-538.2282,397.7721,1,0,0,0
195,0,0,84.4433,-536.6843,397.6028,1,0,0,0
196,0,0,84.3766,-535.1111,397.4112,1,0,0,0
197,0,0,84.3144,-533.4999,397.2169,1,0,0,0
198,0,0,84.2297,-531.9108,397.0418,1,0,0,0
199,0,0,84.1369,-530.3711,396.8536,1,0,0,0
200,0,0,84.0817,-528.7866,396.6554,1,0,0,0
201,0,0,84.0229,-527.1289,396.4654,1,0,0,0
202,0,0,83.9384,-525.474,396.271,1,0,0,0
203,0,0,83.8846,-523.8217,396.0698,1,0,0,0
204,0,0,83.819,-522.1228,395.8652,1,0,0,0
205,0,0,83.7499,-520.4312,395.649,1,0,0,0
206,0,0,83.6642,-518.7854,395.4324,1,0,0,0
207,0,0,83.5979,-517.1185,395.2191,1,0,0,0
208,0,0,83.5215,-515.4624,395.0008,1,0,0,0
209,0,0,83.4533,-513.8189,394.7984,1,0,0,0
210,0,0,83.3962,-512.16,394.5798,1,0,0,0
211,0,0,83.3374,-510.4942,394.3616,1,0,0,0
212,0,0,83.2699,-508.8549,394.1765,1,0,0,0
213,0,0,83.1915,-507.211,393.9874,1,0,0,0
214,0,0,83.136,-505.518,393.7913,1,0,0,0
215,0,0,83.0703,-503.7892,393.6003,1,0,0,0
216,0,0,82.9916,-502.0535,393.3911,1,0,0,0
217,0,0,82.9193,-500.3332,393.2026,1,0,0,0
218,0,0,82.8579,-498.6189,393.0126,1,0,0,0
219,0,0,82.7917,-496.899,392.8399,1,0,0,0
220,0,0,82.7092,-495.1886,392.6362,1,0,0,0
221,0,0,82.6481,-493.4659,392.4457,1,0,0,0
222,0,0,82.5677,-491.7165,392.2603,1,0,0,0
223,0,0,82.4908,-489.9962,392.0464,1,0,0,0
224,0,0,82.447,-488.2798,391.8435,1,0,0,0
225,0,0,82.3564,-486.5638,391.6357,1,0,0,0
226,0,0,82.284,-484.8581,391.4357,1,0,0,0
227,0,0,82.2246,-483.1437,391.2455,1,0,0,0
228,0,0,82.1522,-481.4411,391.0464,1,0,0,0
229,0,0,82.0937,-479.7481,390.8468,1,0,0,0
230,0,0,82.0561,-478.0583,390.6556,1,0,0,0
231,0,0,81.9615,-476.3514,390.4697,1,0,0,0
232,0,0,81.8943,-474.631,390.2769,1,0,0,0
233,0,0,81.8336,-472.9728,390.0746,1,0,0,0
234,0,0,81.7465,-471.3113,389.8811,1,0,0,0
235,0,0,81.6954,-469.6042,389.6994,1,0,0,0
236,0,0,81.6319,-467.9116,389.5163,1,0,0,0
237,0,0,81.5561,-466.2328,389.3218,1,0,0,0
238,0,0,81.4846,-464.5801,389.1206,1,0,0,0
239,0,0,81.4197,-462.9145,388.9315,1,0,0,0
240,0,0,81.3527,-461.2461,388.7446,1,0,0,0
241,0,0,81.2744,-459.5492,388.5645,1,0,0,0
242,0,0,81.2168,-457.8956,388.3716,1,0,0,0
243,0,0,81.1341,-456.2822,388.195,1,0,0,0
244,0,0,81.0664,-454.6396,388.0053,1,0,0,0
245,0,0,80.9904,-452.9583,387.8156,1,0,0,0
246,0,0,80.9082,-451.2819,387.6131,1,0,0,0
247,0,0,80.8152,-449.6648,387.4435,1,0,0,0
248,0,0,80.7528,-448.0288,387.282,1,0,0,0
249,0,0,80.6744,-446.3882,387.0829,1,0,0,0
250,0,0,80.5659,-444.7419,386.9182,1,0,0,0
251,0,0,80.4674,-443.1057,386.7432,1,0,0,0
252,0,0,80.3783,-441.4794,386.5612,1,0,0,0
253,0,0,80.2766,-439.825,386.4048,1,0,0,0
254,0,0,80.1656,-438.1522,386.2256,1,0,0,0
255,0,0,80.0547,-436.4731,386.0548,1,0,0,0
256,0,0,79.9607,-434.7942,385.8728,1,0,0,0
257,0,0,79.8567,-433.1197,385.7067,1,0,0,0
258,0,0,79.7375,-431.442,385.5157,1,0,0,0
259,0,0,79.6358,-429.7667,385.3133,1,0,0,0
260,0,0,79.5478,-428.0519,385.1339,1,0,0,0
261,0,0,79.4684,-426.355,384.9408,1,0,0,0
262,0,0,79.3734,-424.6617,384.7433,1,0,0,0
263,0,0,79.2765,-422.9951,384.5211,1,0,0,0
264,0,0,79.1669,-421.2998,384.3162,1,0,0,0
265,0,0,79.0954,-419.5888,384.093,1,0,0,0
266,0,0,79.0145,-417.8703,383.8883,1,0,0,0
267,0,0,78.9314,-416.203,383.6914,1,0,0,0
268,0,0,78.882,-414.5385,383.4752,1,0,0,0
269,0,0,78.7921,-412.8381,383.2726,1,0,0,0
270,0,0,78.6891,-411.0874,383.0643,1,0,0,0
271,0,0,78.6403,-409.2415,382.8287,1,0,0,0
272,0,0,78.5531,-407.2725,382.5905,1,0,0,0
273,0,0,78.4813,-405.3651,382.3744,1,0,0,0
274,0,0,78.4022,-403.6517,382.1868,1,0,0,0
275,0,0,78.351,-402.0264,381.9936,1,0,0,0
276,0,0,78.2913,-400.3728,381.8028,1,0,0,0
277,0,0,78.22,-398.6583,381.5901,1,0,0,0
278,0,0,78.1634,-396.888,381.4011,1,0,0,0
279,0,0,78.0887,-395.1086,381.1835,1,0,0,0
280,0,0,78.0258,-393.3295,380.9686,1,0,0,0
281,0,0,77.9652,-391.5299,380.7656,1,0,0,0
282,0,0,77.8878,-389.7606,380.552,1,0,0,0
283,0,0,77.8316,-388.0111,380.3537,1,0,0,0
284,0,0,77.7729,-386.2981,380.1563,1,0,0,0
285,0,0,77.7253,-384.6045,379.9622,1,0,0,0
286,0,0,77.6651,-382.8593,379.774,1,0,0,0
287,0,0,77.5919,-381.1142,379.579,1,0,0,0
288,0,0,77.5223,-379.3966,379.3704,1,0,0,0
289,0,0,77.4778,-377.6978,379.1689,1,0,0,0
290,0,0,77.4329,-375.9698,378.9833,1,0,0,0
291,0,0,77.366,-374.2462,378.7935,1,0,0,0
292,0,0,77.3098,-372.5371,378.6089,1,0,0,0
293,0,0,77.2416,-370.8217,378.405,1,0,0,0
294,0,0,77.1865,-369.0971,378.2225,1,0,0,0
295,0,0,77.139,-367.4195,378.0215,1,0,0,0
296,0,0,77.0547,-365.7294,377.8275,1,0,0,0
297,0,0,77.0201,-364.0101,377.6281,1,0,0,0
298,0,0,76.9572,-362.2875,377.4241,1,0,0,0
299,0,0,76.8749,-360.5741,377.2458,1,0,0,0
300,0,0,76.837,-358.8622,377.0538,1,0,0,0
301,0,0,76.7891,-357.1838,376.8575,1,0,0,0
302,0,0,76.7171,-355.5013,376.6602,1,0,0,0
303,0,0,76.6777,-353.7914,376.4589,1,0,0,0
304,0,0,76.6287,-352.107,376.2849,1,0,0,0
305,0,0,76.5771,-350.4326,376.0753,1,0,0,0
306,0,0,76.5166,-348.7674,375.8819,1,0,0,0
307,0,0,76.4854,-347.1039,375.6873,1,0,0,0
308,0,0,76.4222,-345.4456,375.4924,1,0,0,0
309,0,0,76.3708,-343.7735,375.2882,1,0,0,0
310,0,0,76.3345,-342.0865,375.0864,1,0,0,0
311,0,0,76.2744,-340.4015,374.9036,1,0,0,0
312,0,0,76.1999,-338.7216,374.694,1,0,0,0
313,0,0,76.1603,-337.0204,374.4849,1,0,0,0
314,0,0,76.1105,-335.2994,374.2977,1,0,0,0
315,0,0,76.0536,-333.6227,374.0975,1,0,0,0
316,0,0,75.9838,-331.8965,373.9014,1,0,0,0
317,0,0,75.9591,-330.1296,373.706,1,0,0,0
318,0,0,75.8933,-328.3863,373.5004,1,0,0,0
319,0,0,75.8129,-326.6549,373.3129,1,0,0,0
320,0,0,75.7497,-324.9187,373.1203,1,0,0,0
321,0,0,75.6761,-323.1513,372.9214,1,0,0,0
322,0,0,75.6043,-321.3794,372.742,1,0,0,0
323,0,0,75.5304,-319.623,372.5681,1,0,0,0
324,0,0,75.4458,-317.893,372.3958,1,0,0,0
325,0,0,75.3778,-316.201,372.222,1,0,0,0
326,0,0,75.2894,-314.5008,372.0446,1,0,0,0
327,0,0,75.219,-312.7435,371.8593,1,0,0,0
328,0,0,75.1134,-310.9199,371.6552,1,0,0,0
329,0,0,75.0353,-309.057,371.4385,1,0,0,0
330,0,0,74.9295,-307.2232,371.2536,1,0,0,0
331,0,0,74.8362,-305.4463,371.0621,1,0,0,0
332,0,0,74.739,-303.6613,370.8916,1,0,0,0
333,0,0,74.6305,-301.8434,370.7049,1,0,0,0
334,0,0,74.5425,-300.0327,370.5508,1,0,0,0
335,0,0,74.4398,-298.2563,370.3916,1,0,0,0
336,0,0,74.3462,-296.481,370.2104,1,0,0,0
337,0,0,74.2287,-294.7054,370.0514,1,0,0,0
338,0,0,74.1409,-292.9295,369.8828,1,0,0,0
339,0,0,74.0387,-291.1425,369.7055,1,0,0,0
340,0,0,73.9121,-289.3691,369.5344,1,0,0,0
341,0,0,73.7912,-287.5788,369.3742,1,0,0,0
342,0,0,73.6866,-285.8076,369.21,1,0,0,0
343,0,0,73.5508,-284.0246,369.037,1,0,0,0
344,0,0,73.4183,-282.2301,368.885,1,0,0,0
345,0,0,73.2942,-280.4252,368.7209,1,0,0,0
346,0,0,73.1593,-278.614,368.5469,1,0,0,0
347,0,0,73.0192,-276.7957,368.3889,1,0,0,0
348,0,0,72.8714,-274.9965,368.2258,1,0,0,0
