PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE
216,,,26.3966,-87.214,139.173,1,,,
217,,,26.5975,-87.2413,140.359,1,,,
218,,,26.7714,-87.2865,141.5518,1,,,
219,,,26.9678,-87.3611,142.7704,1,,,
220,,,27.1838,-87.4489,143.9895,1,,,
221,,,27.3879,-87.5811,145.196,1,,,
222,,,27.6027,-87.7407,146.4014,1,,,
223,,,27.807,-87.9208,147.6367,1,,,
224,,,28.0097,-88.1324,148.8701,1,,,
225,,,28.2242,-88.3711,150.0928,1,,,
226,,,28.4608,-88.6217,151.3287,1,,,
227,,,28.6947,-88.9024,152.5686,1,,,
228,,,28.9278,-89.2274,153.8167,1,,,
229,,,29.1415,-89.5943,155.0494,1,,,
230,,,29.3484,-89.9934,156.2753,1,,,
231,,,29.6037,-90.4166,157.4944,1,,,
232,,,29.8338,-90.8587,158.6773,1,,,
233,,,30.0507,-91.3401,159.8497,1,,,
234,,,30.2939,-91.8495,161.0264,1,,,
235,,,30.5384,-92.3759,162.198,1,,,
236,,,30.7821,-92.9584,163.406,1,,,
237,,,31.0206,-93.5663,164.5717,1,,,
238,,,31.2705,-94.1728,165.6875,1,,,
239,,,31.472,-94.8068,166.8117,1,,,
240,,,31.7345,-95.4743,167.9174,1,,,
241,,,31.9695,-96.1488,169.0363,1,,,
242,,,32.1942,-96.8564,170.1306,1,,,
243,,,32.4416,-97.5838,171.2379,1,,,
244,,,32.6785,-98.335,172.3133,1,,,
245,,,32.9268,-99.0914,173.3769,1,,,
246,,,33.159,-99.871,174.417,1,,,
247,,,33.3727,-100.6252,175.4442,1,,,
248,,,33.6105,-101.3936,176.4281,1,,,
249,,,33.8365,-102.1877,177.435,1,,,
250,,,34.07,-102.9678,178.407,1,,,
251,,,34.3244,-103.7528,179.3872,1,,,
252,,,34.5373,-104.548,180.3795,1,,,
253,,,34.773,-105.3548,181.3551,1,,,
254,,,34.9868,-106.1627,182.3572,1,,,
255,,,35.2207,-106.9535,183.3412,1,,,
256,,,35.4631,-107.7712,184.3623,1,,,
257,,,35.698,-108.5931,185.3899,1,,,
258,,,35.9237,-109.3857,186.3842,1,,,
259,,,36.1576,-110.1937,187.3854,1,,,
260,,,36.4021,-111.0165,188.4039,1,,,
261,,,36.6482,-111.8185,189.411,1,,,
262,,,36.8734,-112.6469,190.4251,1,,,
263,,,37.1144,-113.4702,191.4477,1,,,
264,,,37.3554,-114.2782,192.4917,1,,,
265,,,37.5837,-115.1064,193.4827,1,,,
266,,,37.8165,-115.9047,194.4665,1,,,
267,,,38.0513,-116.7118,195.4923,1,,,
268,,,38.2824,-117.5262,196.4966,1,,,
269,,,38.514,-118.3445,197.4992,1,,,
270,,,38.7698,-119.1697,198.5076,1,,,
271,,,39.0135,-120.0071,199.5581,1,,,
272,,,39.2346,-120.8174,200.5437,1,,,
273,,,39.4621,-121.6199,201.5158,1,,,
274,,,39.69,-122.4401,202.5281,1,,,
275,,,39.9281,-123.2539,203.546,1,,,
276,,,40.1819,-124.0775,204.5497,1,,,
277,,,40.4161,-124.8971,205.5592,1,,,
278,,,40.6566,-125.7377,206.5808,1,,,
279,,,40.8916,-126.5787,207.5922,1,,,
280,,,41.1223,-127.4129,208.6033,1,,,
281,,,41.3732,-128.2774,209.6254,1,,,
282,,,41.6174,-129.1412,210.6651,1,,,
283,,,41.8777,-129.9812,211.6743,1,,,
284,,,42.134,-130.7896,212.6744,1,,,
285,,,42.3764,-131.6286,213.6749,1,,,
286,,,42.6411,-132.4563,214.6745,1,,,
287,,,42.8945,-133.3038,215.6839,1,,,
288,,,43.1483,-134.147,216.693,1,,,
289,,,43.3955,-134.9845,217.6869,1,,,
290,,,43.6558,-135.8312,218.6836,1,,,
291,,,43.8946,-136.6696,219.7,1,,,
292,,,44.1629,-137.5167,220.7072,1,,,
293,,,44.4055,-138.3492,221.6979,1,,,
294,,,44.6791,-139.1742,222.7067,1,,,
295,,,44.9207,-140.012,223.7329,1,,,
296,,,45.1887,-140.8481,224.7354,1,,,
297,,,45.4384,-141.6623,225.7288,1,,,
298,,,45.7123,-142.4687,226.7217,1,,,
299,,,45.9891,-143.2931,227.7221,1,,,
300,,,46.2463,-144.0961,228.6938,1,,,
301,,,46.4831,-144.8756,229.6396,1,,,
302,,,46.715,-145.6432,230.5682,1,,,
303,,,46.9515,-146.4168,231.4859,1,,,
304,,,47.1887,-147.164,232.3772,1,,,
305,,,47.419,-147.8741,233.245,1,,,
306,,,47.6556,-148.5628,234.0803,1,,,
307,,,47.891,-149.2422,234.9037,1,,,
308,,,48.1014,-149.8892,235.6978,1,,,
309,,,48.3957,-150.7919,236.7953,1,,,
310,,,48.6612,-151.6358,237.817,1,,,
311,,,48.9078,-152.3954,238.7668,1,,,
312,,,49.1277,-153.1006,239.6295,1,,,
313,,,49.39,-153.9131,240.6258,1,,,
314,,,49.6263,-154.5804,241.4332,1,,,
315,,,49.8536,-155.2285,242.2153,1,,,
316,,,50.0586,-155.8631,243.018,1,,,
317,,,50.2882,-156.534,243.8509,1,,,
